"Present name of the feature";"Value type";"Former name of the feature (indication)";"Other names of feature (indic.)";"Classes where feature is encoded (indic.)";"Description of the feature";"Example(s) illustrating the feature";"Description de la propriété"
"Qu N0 V (être Adj)";"binary";"Qu N0 V(être Adj)";;", 6, 9";"From a sentential complement in the indicative mood taking the form que N être Adj W, the noun phrase N can be extracted during the formation of a relative clause; the rest of the sentential complement becomes an infinitive clause être Adj W";"J'ai des doutes sur une opération. L'intéressé certifie que cette opération est véridique = J'ai des doutes sur une opération que l'intéressé certifie être véridique";"Dans une complétive objet à l'indicatif de la forme que N être Adj W, le groupe nominal N peut être extrait lors de la formation d'une relative ; le reste de la complétive est conservé sous la forme d'une infinitive être Adj W"
"Qu P = de V0-inf W";"binary";"Qu P = de V0-inf W";;", 6, 9, 12";"A direct sentential complement in the indicative mood, with a subject coreferent to the main subject, can be replaced by an infinitive clause introduced by the preposition de, with an implicit subject coreferent to the main subject";"Paul feint qu'il a un malaise = Paul feint d'avoir un malaise";"La complétive objet direct à l'indicatif, lorsque son sujet est coréférent au sujet de la principale, peut être remplacée par une infinitive introduite par la préposition de et dont le sujet est coréférent au sujet de la principale"
"Qu P = V0-inf W";"binary";"Qu P = V0-inf W";;", 6, 9, 12";"A sentential complement in the indicative mood, with a subject coreferent to the main subject, can be replaced by a non-prepositional infinitive clause with an implicit subject coreferent to the main subject";"Paul compte qu'il viendra = Paul compte venir";"La complétive à l'indicatif, avec un sujet coréférent au sujet de la principale, peut être remplacée par une infinitive non prépositionnelle dont le sujet est coréférent au sujet de la principale"
"Qu Psubj = de V0-inf W";"binary";"Qu Psubj = de V0-inf W";;", 6, 9, 12";"A direct sentential complement in the subjunctive mood, with a subject coreferent to the main subject, can be replaced by an infinitive clause introduced by the preposition de, with an implicit subject coreferent to the main subject";"Paul propose à Marie qu'il la conduise = Paul propose à Marie de la conduire";"La complétive objet direct au subjonctif, avec un sujet coréférent au sujet de la principale, peut être remplacée par une infinitive introduite par la préposition de, dont le sujet est coréférent au sujet de la principale"
"Qu Psubj = de V2-inf W";"binary";"Qu Psubj = de V2-inf W";;", 9";"A direct sentential complement in the subjunctive mood, with a subject coreferent to an object N2, can be replaced by an infinitive clause introduced by the preposition de, with an implicit subject coreferent to N2";"Paul conseille à Luc qu'il parte = Paul conseille à Luc de partir";"La complétive objet direct au subjonctif, avec un sujet coréférent à l'objet N2, peut être remplacée par une infinitive introduite par la préposition de, dont le sujet est coréférent à N2"
"Qu Psubj = V0-inf W
";"binary";"Qu Psubj = V0-inf W
";;", 6, 12";"A (possibly theoretical) sentential complement in the subjunctive mood, with a subject coreferent to the main subject, can be replaced by a non-prepositional infinitive clause with an implicit subject coreferent to the main subject";"*Paul désire qu'il boive = Paul désire boire";"La complétive (éventuellement théorique) au subjonctif, avec un sujet coréférent au sujet de la principale, peut être remplacée par une infinitive non prépositionnelle dont le sujet est coréférent au sujet de la principale"
"Qu Psubj =: Qu Ni Vsubj W = (Ni) (de Vi-inf W)";"binary";"(N1)(de V-inf W)
Qu Psubj = (N1)(de V-inf W)";;", 12";"A type of subject raising: a sentential complement in the subjunctive mood taking the form que Ni Vsubj W can be replaced with a constituent Ni followed by an infinitive clause Vi-inf W introduced by the preposition de";"Paul empêche que Pierre vienne  = Paul empêche Pierre de venir";"Type de montée du sujet : une complétive au subjonctif de la forme que Ni Vsubj W peut être remplacée par un constituant Ni suivi d'une infinitive Vi-inf W, introduite par la préposition de"
"Sfx =: age
";"binary";"Sfx =: age
";;", 37E, 37M1, 37M2, 37M3, 37M4, 37M5, 37M6";"A deverbal noun related with V with the suffix -age is used in a sentence syntactically and semantically connected to the basic construction";"Luc a paillé la chaise d'un paillage rustique";"Un nom déverbal lié à V avec le suffixe -age est utilisé dans une phrase syntaxiquement et sémantiquement connecté à la construction de base"
"Sfx =: ment";"binary";"Sfx =: ment";;", 37E, 37M1, 37M2, 37M3, 37M4, 37M5, 37M6";"A deverbal noun related with V with the suffix -ment is used in a sentence syntactically and semantically connected to the basic construction";"Luc a empierré le chemin d'un empierrement solide";"Un nom déverbal lié à V avec le suffixe -ment est utilisé dans une phrase syntaxiquement et sémantiquement connecté à la construction de base"
"Sfx =: tion";"binary";"Sfx =: tion";;", 37E, 37M1, 37M2, 37M3, 37M4, 37M5, 37M6";"A deverbal noun related with V with the suffix -tion is used in a sentence syntactically and semantically connected to the basic construction";"Luc a irrigué son champ d'une irrigation efficace";"Un nom déverbal lié à V avec le suffixe -tion est utilisé dans une phrase syntaxiquement et sémantiquement connecté à la construction de base"
"Sfx =: ure";"binary";"Sfx =: ure";;", 37E, 37M1, 37M2, 37M3, 37M4, 37M5, 37M6";"A deverbal noun related with V with the suffix -ure is used in a sentence syntactically and semantically connected to the basic construction";"Paul a épluché les patates de leur peau épaisse (la peau est une ""épluchure""). Luc a doublé son manteau d'une doublure de soie.";"Un nom déverbal lié à V avec le suffixe -ure est utilisé dans une phrase syntaxiquement et sémantiquement connecté à la construction de base"
"sur combien ?";"binary";"sur combien?";;", 38L, 38L1";"An additional complement introduced by the preposition sur and containing a cardinal numeral as a determiner denotes a portion of the place involved, and answers a question with sur combien ?";"Luc a descendu le Nil sur 300 km ; Luc a acheminé les colis sur 1000 km";"Un complément supplémentaire introduit par la préposition sur et contenant un déterminant numéral dénote une portion du lieu impliqué et répond à la question en sur combien ?"
"Tc =: futur";"binary";"Tc =: futur";;", 1, 5, 7, 8, 11, 12, 13, 15";"The infinitive clause can contain a future adverb while the main verb is in the present tense";"Paul renonce à partir demain ; Il incombe à l'intéressé de s'inscrire à partir de demain ; Luc jubile de se lever tard demain";"L'infinitive peut contenir un adverbe de futur alors que le verbe principal est au présent"
"Tc =: passé";"binary";"Tc =: passé";;", 1, 5, 7, 8, 11, 12, 13, 15";"The infinitive clause can be at a compound tense while the main verb is in the present tense";"Paul engueule Luc d'avoir fait ça ; Cela compte pour Luc d'avoir réussi ; Luc jubile d'avoir réussi";"L'infinitive peut être à un temps composé alors que le verbe principal est au présent"
"Tc =: présent";"binary";"Tc =: présent";;", 1";"The infinitive clause can contain a present adverb while the main verb is in the present tense";"Paul passe pour être encore un bon amant";"L'infinitive peut contenir un adverbe de présent alors que le verbe principal est au présent"
"thèmeN1";"lexical";"zone";;", 32R3, 35R";"Prototypical example of a noun which can be the head of the object N1";"Luc applique cette loi ; Luc collabore avec l'ennemi";"Exemple prototypique de nom qui peut occuper la position de l'objet N1"
"Tp = Tc";"binary";"Tp = Tc";;", 1, 2, 2T, 3";"A time adverb in the main clause cannot coexist with a semantically incompatible time adverb in the infinitive clause";"*Paul manque à ce moment de faire une gaffe demain ; *Luc passe en ce moment boire un coup ce soir ; *Luc traîne Marie maintenant voir un film tout à l'heure";"Un adverbe de temps dans la principale ne peut pas coexister avec un adverbe de temps sémantiquement incompatible dans l'infinitive"
"trajet";"binary";"trajet";;", 35L, 35ST";"Additional locative complement introduced by the preposition sur or le long de and interpreted as a place of passage; the sentence may denote either a movement through the passage, or a stative situation where a person or thing can travel through the passage";"L'eau dégouline sur le mur ; cf. *Luc parvient de la fenêtre au balcon sur la corniche ; Le rocher avance dans la mer le long de la falaise";"Complément locatif supplémentaire introduit par la préposition sur ou le long de et interprété comme un lieu de passage ; la phrase peut dénoter soit un trajet, ou une situation statique où une personne ou une chose peut effectuer un trajet"
"V = convertir en V-n";"binary";"V = convertir en V-n";;", 32CV";"Paraphrase of the form N0 convertir/transformer N1 en V-n or N0 faire de N1 V-n, where V-n is a deverbal noun related to V";"Le temps a parcheminé ce manuscrit = Le temps a converti/transformé ce manuscrit en parchemin ; Paul a déifié Marie = Paul a fait de Marie une déesse";"Paraphrase de la forme N0 convertir/transformer N1 en V-n ou N0 faire de N1 V-n, où V-n est un nom déverbal lié à V"
"V = convertir en V-n (forme V-n)";"lexical";" ";;", 32CV";"Form of a deverbal noun morphologically associated with V, used in a paraphrase of the form N0 convertir/transformer N1 en V-n or N0 faire de N1 V-n";"parchemin";"Forme d'un nom déverbal lié à V, utilisé dans une paraphrase de la forme N0 convertir/transformer N1 en V-n ou N0 faire de N1 V-n"
"V = mettre en V-n";"binary";"V = mettre en V-n";;", 32CV";"Paraphrase of the form N0 mettre N1 en V-n, where V-n is a deverbal noun related to V";"Paul a bobiné le fil = Paul a mis le fil en bobine";"Paraphrase de la forme N0 mettre N1 en V-n, où V-n est un nom déverbal lié à V"
"V = mettre en V-n (forme V-n)";"lexical";" ";;", 32CV";"Form of a deverbal noun morphologically associated with V, used in a paraphrase of the form N0 mettre N1 en V-n";"bobine";"Forme d'un nom déverbal lié à V, utilisé dans une paraphrase de la forme N0 mettre N1 en V-n"
"V mouvement";"binary";"V mouvement";;", 38L1";"The sentence denotes a movement";"Luc percute le mur ; Luc croise Léa";"La phrase dénote un mouvement"
"V statique";"binary";"V statique";;", 38L1";"The sentence denotes a stative situation";"Luc habite cette maison ; L'avenue croise le boulevard";"La phrase dénote une situation statique"
"V1-inf W = Ppv";"binary";"V1-inf W = Ppv";;", 3";"An infinitive clause taking the form V1-inf W, with an implicit subject coreferent to an object N1, can pronominalize into a clitic";"Paul emmène Marie faire des courses = Paul y emmène Marie";"L'infinitive de la forme V1-inf W, avec un sujet implicite coréférent avec l'objet N1, peut être pronominalisée sous la forme d'un pronom préverbal"
"V-adj";"lexical";" ";" ";", 32RA, 36R";"Form of the deverbal adjective related to V in the sentence N0 rendre N1 V-adj, or N0 rendre N1 plus V-adj, or N1 être V-adj à N2";"On a libéré Paul (E+de ses liens) = On a rendu Paul libre (E+de ses liens) ; On a allégé le paquet de 100 g = Le paquet est plus léger de 100 g ; On a imperméabilisé ce tissu à l'eau = Ce tissu est imperméable à l'eau";"Forme de l'adjectif déverbal lié à V dans la phrase N0 rendre N1 V-adj, ou N0 rendre N1 plus V-adj, ou N1 être V-adj à N2"
"Vc =: aimer";"binary";"Vc =: aimer";;", 2, 3";"The infinitive clause can contain the verb aimer";"Cela tombe mal pour Roméo d'aimer Juliette ; Luc en vient à aimer Marie";"L'infinitive peut contenir le verbe aimer"
"Vc =: avoir";"binary";"Vc =: avoir";;", 2, 3";"The infinitive clause can contain the verb avoir";"Il en coûte à Luc d'avoir cette voiture ; Luc jubile d'avoir une voiture";"L'infinitive peut contenir le verbe avoir"
"Vc =: devoir";"binary";"Vc =: devoir";;", 1, 2, 3, 5, 7, 8, 14, 15";"The infinitive clause can contain the verb devoir";"Paul rechigne à devoir faire ça ; Il arrive à Luc de devoir consulter son agenda ; cf. *Paul demande à devoir faire ça";"L'infinitive peut contenir le verbe devoir"
"Vc =: être";"binary";"Vc =: être";;", 2, 3";"The infinitive clause can contain the verb être";"Il en coûte à Luc d'être ici ; Luc jubile d'être ici";"L'infinitive peut contenir le verbe être"
"Vc =: pouvoir";"binary";"Vc =: pouvoir";;", 1, 2, 3, 5, 7, 8, 14, 15";"The infinitive clause can contain the verb pouvoir";"Il arrive à Luc de pouvoir se lever ; Paul aspire à pouvoir faire ça";"L'infinitive peut contenir le verbe pouvoir"
"Vc =: savoir";"binary";"Vc =: savoir";;", 1, 2, 3, 5, 7, 8, 14, 15";"The infinitive clause can contain the verb savoir";"Il manque à Luc de savoir faire rire ; Paul aspire à savoir faire ça";"L'infinitive peut contenir le verbe savoir"
"Vc =: vouloir";"binary";"Vc =: vouloir";;", 2, 3";"The infinitive clause can contain the verb vouloir";"Il arrive à Luc de vouloir déménager ; Ceci revient pour Luc à vouloir déménager";"L'infinitive peut contenir le verbe vouloir"
"V-n attache";"binary";"V-n 'attache'";;", 36SL";"Paraphase of the form N0 attacher N1 à N2 avec V-n, where V-n is a deverbal noun related to V and denoting a tying system";"On a agrafé la feuille bleue sur la feuille rouge = On a attaché la feuille bleue à la feuille rouge avec une agrafe";"Paraphrase de la forme N0 attacher N1 à N2 avec V-n, où V-n est un nom déverbal lié à V et dénotant un système d'attache"
"V-n attache (forme V-n)";"lexical";" ";;", 36SL";"Form of a deverbal noun morphologically associated with V, used  in a paraphase of the form N0 attacher N1 à N2 avec V-n, denoting a tying system";"agrafe";"Forme d'un nom déverbal lié à V dans une paraphrase de la forme N0 attacher N1 à N2 avec V-n, dénotant un système d'attache"
